用户名,评论时间,评论内容,评分,赞同数,情感
岳流蠡,2022/5/21 16:43,这部电影也太烂了，扯到离谱，剧情不合理实在没啥好的，白瞎了男女主,10,0,0
无为而治,2022/3/19 12:08,两个不认识的演员，男主没啥表情呀。话说，大家之前还嫌弃国产爱情电影，看看情人节特供的几部所谓“爱情”，别说剧情了，连颜值都??。??中间一小段，欢喜冤家还行吧，也没拍得多好。完全get不到相爱，只有一头雾水的莫名其妙！,10,1,0
忆,2022/5/10 13:40,很土的梗，但我就是喜欢温馨暖心有爱的影片，不需要智商，只要看着笑了就可以了,30,0,1
榜邦玻璃,2022/6/7 2:01,只要施柏宇的眼神声音下颌线一如往昔，我的迷恋就不变。他嘴角若有似无的笑意真是迷人。两个人还蛮有CP感的，花絮里的打打闹闹反而最甜。// 看到最后总算明白了什么叫强行HE，仿佛写稿子写到最后懒得思考逻辑，强行升华主题迅速结尾，OVER.,30,0,1
正义B胜,2022/2/14 11:32,剧情、表演乃至技术层面全是灾难级的。咱就这么骗吧，三四五线观众觉醒的只会更快。,10,35,0
你个小东西,2022/5/6 22:54,女主开会洗澡那点真的笑到抽抽，男二说喜欢女主听话懂事时，突然觉得那俩词变成贬义词了...,40,1,1
FFF,2022/2/14 19:36,"情人节陪看，好久没看到这么狗血的电影..      
                                           ——2022.2.14",20,9,0
锡熙,2022/4/15 18:54,不予置评,20,0,0
Nefelibata,2022/5/14 12:40,嗯，等缘分和命运安排吧,30,0,1
molo825,2022/2/19 22:18,真难看，浪费时间,10,2,0
番茄炒蛋不加蛋,2022/2/15 22:43,为了消磨时间看的，还好。男女主是青春的，女主的台词时行时不行。男女主的感情升温还差一点点。男二出场有尬到我，女主对pua男那一巴掌好爽啊，好感增加,30,0,1
庞尼西,2022/9/11 19:48,奇幻的设定 ，却出了个极度无聊的故事，男女两人之间真的毫无火花。,10,1,0
剀凯恺,2022/2/14 10:07,倒也还行吧，这部电影的高明之处在于几乎不用考虑男女主的档期问题??,40,56,1
短腿不利起飞,2022/3/21 5:49,可能也就焦迈奇演重病不起的时候觉得挺好，高昂的骗婚gay感也太强了吧！,10,2,0
海的女儿,2022/4/3 1:36,是我的问题，对这片子有误解，看到施柏宇以为是想见你的番外…… 前半段到弹钢琴都挺好笑的，不说我还以为是B站上网友自制的,10,0,0
三石一声,2022/2/14 22:12,一颗星给焦迈奇的插曲《今天也想见到你》；另一颗星给老干妈配吐司的吃法，有点意思。其他所有角色都没在说人话，影院的人全程都当喜剧片在看的，看笑话一样看一部小甜电影？我司楼下的取景真多啊～见笑了。,20,7,0
禁止犯蠢小螂君,2022/3/19 22:20,期待挺久，还是失望了。剧情漏洞太多，对不起演员演技，一看就是应景赚情人节票钱。里面几首英文歌都还不错。周依然很可，有类似周冬雨的灵气；施柏宇普普通通，擅长的戏路。,30,0,1
嘛哩嘛哩呗呗塔,2022/3/26 14:12,NO.2270：1h34m腾讯视频，题材像你的名字，不过三年就咸鱼翻身了也就小说影视里能做到。,30,0,1
Ukulele,2022/3/18 13:45,男女主角养眼，有灵气。剧本过关，台词很舒服。文艺小清新爱情片合格！,40,0,1
Mr.Candy,2022/3/18 20:00,设定还有点意思，一开始调子也拍得轻松愉快。后面展开就有点难看，给我看睡着了，一直睡到女主去德国哐哐敲门给我敲醒。这种片子，怎么说呢，凭良心这种咱也不能说是大烂片，但看了总归让人不太得劲儿吧。男女主都没长在我审美上。,20,1,0
解忧公主,2023/5/7 16:32,飞机上看觉得好甜好可爱,30,0,1
小雀斑,2022/2/14 21:27,哈哈哈哈 挺奇幻 挺中二,30,1,1
舒农,2022/2/15 17:20,诡异到我以为男主和他那个昏迷的朋友才是一对，女主角好想去他的世界爱他其实是想开了之后笑着哭做同妻。,20,5,0
陈精病,2022/3/16 16:45,剧情简单到爆炸，女主从穿高跟鞋开始就变得非常非常非常蠢，并且有非常严重的被虐倾向，大力娇滤镜也拯救不了。,20,1,0
海淀影评媛,2022/4/24 20:44,剧作可圈可点，导表拉胯。,20,0,0
Yummy的喵,2022/3/20 22:49,剧本烂，导演烂，演技也烂，男女主同框不超过五分钟，整个片子没一处能夸出口的。国产电影还能有出彩的爱情片吗？,10,1,0
ZhangC.C.,2022/7/18 19:44,不应该啊，这片至少6分啊，he的结局不好吗。,30,0,1
爱电影嗜写影评,2022/2/14 22:08,还不错吧，可能因为先看了半小时十年一品温如言，至少这部镜头语言是电影版的，有用心思的诚意作品。,30,5,1
橘子汽水,2022/3/22 10:42,故事要接地气，而不是接地府，总在爱情剧本里，搞一些奇幻的设定是让人不解的，写个老老实实的剧本这么难吗。,20,0,0
噬元兽,2022/3/29 18:55,结尾有'向左走向右走'那个味道了,30,1,1
春风十里不如你,2022/3/22 21:18,有的时候也很佩服像这部电影这样的国产爱情片的导演，他们就算是照着7.6分的原版电影拍，也能去其精华，留下并放大所有的缺点，弄出这么个东西，佩服佩服。,20,0,0
人気小圆头??,2022/3/16 23:36,确实也就是好一点的网大。,20,1,0
妖精的妄想,2023/3/3 5:01,想见你小分队单飞爱情摆烂片第三部，强行自我感动,10,0,0
小蔡蔡最棒,2022/2/15 23:44,虽然我喜欢施柏宇，但是这还是情人节烂片大礼包之三,10,4,0
ZHC,2022/3/25 13:40,？,10,0,0
无事小神仙,2022/3/16 21:12,？？？？？？,10,2,0
cDeFgAb_,2022/11/22 22:26,平平无奇,30,0,1
黄杉,2022/4/1 21:33,这确实不算一部高分电影，但，我还是打了～,40,0,1
明光暗影,2022/2/15 11:04,"带有奇幻色彩的轻喜剧爱情片，影片除了立意概念的设定有一定想象空间之外，选角、表演、叙事逻辑等都乏善可陈。

片中的奇幻设定是，两个相隔千里的男女，因意外事故而脑电波相通，然后就通感了。片中的浪漫及喜剧笑料均出自此，既是欢喜冤家又相互牵制

、相互慰藉。然而，这一点点有意思的部分也是拾人牙慧，2014年的美国电影《你眼中的世界》就早已演绎过了。然而，该片已经是今年情人节档猫淘平台分数最高的一部新片了。。。",20,6,0
琼斯黄,2022/2/14 18:03,第一，据说片方没有买版权。第二，结尾的阿尔卑斯山感觉是PS的。但是没关系，这片子配抖音用户，天作之合。,10,12,0
Harvey0077,2022/4/24 20:42,我打五星。因为，女主跟她长得好像啊啊啊啊啊啊啊啊啊啊。,50,0,1
南山南酱,2023/2/10 17:09,照顾植物人好友+男主的“小说”（A4纸打出来订一起那种）怎么就到女主手里了，除了这俩，挺可爱的一个小爱情片~,30,0,1
Selene,2022/3/9 17:59,??  降智程度是忍不住在电影院就要吐槽的程度 PS 导演真的当观众和男女主一起摔傻了吗？这是电影！不是周播剧！不用一直播重复画面让观众回忆起刚才发生了什么……??,10,1,0
胡晓晨,2022/2/14 14:49,受够了这种无脑国产片的弱智剧情了。,20,16,0
404,2022/3/23 17:25,其实设定还行...,20,0,0
-,2022/2/20 14:29,2022.2.17 和朋友一起去看的，比較輕鬆無腦，女主還行，男主我恨你是塊木頭,20,1,0
晴耕雨读,2022/3/21 23:46,前半段相当有趣，后面不行。,30,0,1
赵奕陶,2022/2/15 10:25,最大的BUG难道不是一个人睡着的时候另一个人也应该睡着吗，那还怎么工作，一直睡觉好了,30,3,1
魏天庭,2022/6/11 22:14,类似的电影有《你的名字。》和《你眼中的世界》，只不过这部电影和这另外的两部相比，实在是水平悬殊，有金玉在前，这部电影就显得败絮其中了。故事没讲好，演员也差点意思，周依然做女主，还是没能压住全场，最后的结尾倒是实现了爱情的理想化，成为了加分项。,30,0,1
玉桴,2022/3/17 19:36,都是套路,30,0,1
老孙,2022/3/17 19:44,"烂片上线快？ 
看完了，确实很白开水，比毛晓彤那部有点味道，但也不咋地",10,1,0
孤独的根号三,2022/3/16 16:27,你们自我感觉良好就好，尬！,20,1,0
PearPlus,2022/3/30 23:42,"2022.3.30（3?）
如果是be，我给再打一星~",30,0,1
自然醒,2022/6/21 22:48,打发时间挺不错的，男女主错过的那段真是集狗血之大成,30,0,1
Smile&Kevin,2022/3/21 1:29,挺有趣的电影,40,0,1
园丁马小甲,2022/3/17 15:16,负分。,10,1,0
肥界,2022/3/19 8:41,女主人设真的不大行，看了一半看不下去，本来剧情设定挺有意思的，但是却奇怪的没有氛围感。,10,2,0
普莉恩皮察雅,2022/4/16 14:32,抱着4分的期待看的，满足期待。女主戴手套那里还有、、感动,20,0,0
赤椰,2022/4/1 20:35,前面那段还蛮好笑的。后面我忽略了。主要是去看施柏宇，结果发现化了妆。,20,0,0
窈七,2022/8/4 16:05,严正声明：牵手拥抱开房同居却不在一起的那不叫好朋友，那叫装傻装蒜。导演所要营造的恋人未满始终建立在双方形影不离的明恋状态之下，而二人关系在男主为女主留在长沙时便已全然变味。剧作始终没能拿出任何像样的矛盾冲突来制造两人不在一起的客观理由，却依旧我行我素地以暧昧的姿态消费着好朋友的身份，而女主草率复合与男主硬闯婚礼则更是走回了青春伤痛的滥俗基调。友情可贵是没看出多少，倒是坐实了异性朋友都心怀鬼胎的观点，而这种把爱情与友情混为一谈、百无禁忌的行为，到了全世界异性朋友都要给它唱“听我说谢谢你，因为有你……”的程度。,20,333,0
核仁烤排骨,2022/8/4 15:22,七夕节看两部爱情片，be率100%，我看你们还是嫌结婚率太高了……,30,326,1
Ber_雪碧,2022/8/4 23:57,6.5雨夜从旧的出租屋跑到新家那场戏最为精彩，突然的停电把两人困在当下，霓虹灯从窗外照进来，她一开口几乎要把两人的距离拉近为零。可惜这个男生兜里的280全用来买红酒了，连去酒店开一间房过夜的钱也掏不出来。电力恢复的一刹那，白炽灯把他的窘迫照得干干净净。,30,144,1
不留痕迹,2022/8/4 14:34,低配版《那些年》，都是在讲女生比男生更快成熟的故事，都在结尾的婚礼闹了场抓马，都是一段徒劳无功的爱情。但可怕的是男女主演完全不来电，所以在不在一起都显得莫名其妙。不过大学城的景真的是大杀器，那些下不完的雨，一起嗦过的粉、撸过的串、压过的马路，点点滴滴都承载了太多的回忆，对于在这个地方生活十多年的人来说难免手松。电影很假，但某一刻它让我想起了曾经的我们。,30,120,1
藍霺,2022/8/4 15:25,年纪大了看不得小年轻谈个恋爱磨磨叽叽～,20,109,0
啥姆雷特,2022/8/4 23:34,天呐你俩都同居了还死按着不表白说是朋友，好像真的有那个性功能大病诶；最后的场景真的有被雷到。另外长沙地铁2016年才建好一条线，希望编剧不要坐时光机谢谢。也就男女主的脸和摄影能看吧，阿门。,20,101,0
JoeyLu陆柏宇,2022/8/5 18:27,深刻反映现实，只可惜被片名耽误了,40,67,1
凯文·史派东,2022/8/4 16:24,还是光线青春片流水线一样惯有的尿性，剧情狗血到没法看，小七的颜值在大银幕依旧能打，可惜入行做演员起步有些晚了。,20,68,0
今 敏,2022/8/6 20:10,先说分数，多一星是给七姐的。电影还可以，是出乎预料的可以，也能看出来导演在某些地方是有想法，导致了想法也有点多，也可能是编剧的主要原因，就是实在太冗长了，就差在拍点生老病死了，两个小时的be爱情片，我觉得大家还是会觉得累的。但比起光线的其他爱情片，这部电影好在从上到下（除了客串）都没有大牌，所以所有人都很努力吧。,40,16,1
虚构天堂,2022/8/4 16:11,就这种矫情的片名都能出一个烂片序列了。赶紧打一仗吧，别TM疼痛呻吟了。,10,328,0
耳朵失灵,2022/8/4 15:18,青春片的主题真的永远是遗憾吧，永远别扭，永远不在该勇敢的时候勇敢，然后永远热泪盈眶。（题外话，冲着在我们学校取景看的，我给景德楼和岳王亭路还有我最爱的樟树和图书馆100分。）,30,43,1
豆芽菜也是cai,2022/8/4 15:07,故事看得我憋闷，尤其是男主怂的……真是太真实了……所以真实的我很憋闷。正常的情结、正常的演技，最终呈现出一部自然的电影。年轻的时候，尊严好像总是最重要的。总以为爱情可以挽回、还会有更合适的，却不知有时候最在意的尊严在人生中往往不值一晒……年纪大了，更愿意看些顺心的、高兴的……电影拍的不错，每一首插曲都好听，瞬间把我的情绪拉入人物。喜欢女主的演员和角色，演员演技自然，气质干净，角色坚强努力、不卑不亢，实在太优秀了。,50,121,1
黄悦_,2022/9/25 23:10,相爱相杀真的太虐了 明明都喜欢得那么明显了 还要好兄弟来相称真是太无聊了 从头到尾都没有说过喜欢对方 这两人都那么明显了还住一起了拜托你们矫不矫情啊 特欣赏导演镜头下男主的那份自卑脆弱 在1801新房的那段毫发毕现 我也很难说出“应该积极向上一点 去争取配得上人家” 我只知道男女关系中那么怂注定没有出路。女主第一次见但好漂亮啊！前半段学校酒桌上那种彪悍也很讨喜。有情人不能终成眷属 结局真让人难受。,30,5,1
